event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_NEW_TOKEN,1765872844.9504588,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5981.588363647461,5981.588363647461,,7743.629217147827
LLM_NEW_TOKEN,1765872844.962382,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5969.665050506592,5969.665050506592,,7731.705904006958
LLM_NEW_TOKEN,1765872844.963161,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5968.886137008667,5968.886137008667,,7730.926990509033
LLM_NEW_TOKEN,1765872844.975786,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5956.261157989502,5956.261157989502,,7718.302011489868
LLM_NEW_TOKEN,1765872844.975976,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5956.071138381958,5956.071138381958,,7718.111991882324
LLM_NEW_TOKEN,1765872844.9897149,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5942.3322677612305,5942.3322677612305,,7704.373121261597
LLM_NEW_TOKEN,1765872844.989867,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5942.180156707764,5942.180156707764,,7704.22101020813
LLM_NEW_TOKEN,1765872845.0061388,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5925.908327102661,5925.908327102661,,7687.949180603027
LLM_NEW_TOKEN,1765872845.00638,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5925.66704750061,5925.66704750061,,7687.707901000977
LLM_NEW_TOKEN,1765872845.020022,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5912.025213241577,5912.025213241577,,7674.066066741943
LLM_NEW_TOKEN,1765872845.0202482,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5911.79895401001,5911.79895401001,,7673.839807510376
LLM_NEW_TOKEN,1765872845.031313,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5900.734186172485,5900.734186172485,,7662.775039672852
LLM_NEW_TOKEN,1765872845.03157,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5900.477170944214,5900.477170944214,,7662.51802444458
LLM_NEW_TOKEN,1765872845.0458229,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5886.224269866943,5886.224269866943,,7648.26512336731
LLM_NEW_TOKEN,1765872845.046041,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5886.006116867065,5886.006116867065,,7648.046970367432
LLM_NEW_TOKEN,1765872845.05881,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5873.237133026123,5873.237133026123,,7635.277986526489
LLM_NEW_TOKEN,1765872845.059063,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5872.984170913696,5872.984170913696,,7635.0250244140625
LLM_NEW_TOKEN,1765872845.07393,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5858.11710357666,5858.11710357666,,7620.157957077026
LLM_NEW_TOKEN,1765872845.074131,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5857.9161167144775,5857.9161167144775,,7619.956970214844
LLM_NEW_TOKEN,1765872845.0858428,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5846.2042808532715,5846.2042808532715,,7608.245134353638
LLM_NEW_TOKEN,1765872845.086029,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5846.018075942993,5846.018075942993,,7608.058929443359
LLM_NEW_TOKEN,1765872845.099461,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5832.586050033569,5832.586050033569,,7594.626903533936
LLM_NEW_TOKEN,1765872845.099584,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5832.463026046753,5832.463026046753,,7594.503879547119
LLM_NEW_TOKEN,1765872845.114034,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5818.0131912231445,5818.0131912231445,,7580.054044723511
LLM_NEW_TOKEN,1765872845.1142578,0,0,0,0,,,<workflow>,ac682da5-01f2-4e77-a318-c4bfe8ce36d8,root,root,6f095eee-6864-4f9f-9a67-c32b735f17fd,langchain,<workflow>,1.0,5817.789316177368,5817.789316177368,,7579.830169677734
